Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Panke Schön with Bam Bam's Boogie,2025-05-21T00:00:00.000,2025-05-21T19:30:00.000,2025-05-22T03:00:00.000,Bam Bam's Boogie,Panke,/events/2172455,9
Berlin Kink,2025-05-21T00:00:00.000,2025-05-21T20:00:00.000,2025-05-22T02:00:00.000,,Insomnia,/events/2150123,8
Lilith - 'AWAKENING' AT THE GARDEN OF ÆDEN (5€),2025-05-21T00:00:00.000,2025-05-21T20:00:00.000,2025-05-22T08:00:00.000,,ÆDEN,/events/2171257,9
Rave am Mittwoch,2025-05-21T00:00:00.000,2025-05-21T23:00:00.000,2025-05-22T06:00:00.000,"Mikadoo (2), theis.de",M-BIA,/events/2171676,9
mittendrin mit Pyrame,2025-05-21T00:00:00.000,2025-05-21T18:00:00.000,2025-05-22T04:00:00.000,Pyrame,Minimal Bar,/events/2128703,4
OBSCITHEA,2025-05-21T00:00:00.000,2025-05-21T20:00:00.000,2025-05-22T01:00:00.000,"Strobe, 4BLISS#, The Kiss, Benua",Lauschangriff,/events/2174227,6
Sky-Bar Warmup - Free Entrance - Downbeat & Soulful Vibes,2025-05-21T00:00:00.000,2025-05-21T18:00:00.000,2025-05-22T02:00:00.000,,Solar,/events/2160226,2
WOCHENMITTE w. doob & Janoma,2025-05-21T00:00:00.000,2025-05-21T17:00:00.000,2025-05-22T00:00:00.000,"doob, Janoma",Klunkerkranich,/events/2169119,1
Zu Uns,2025-05-21T00:00:00.000,2025-05-21T22:00:00.000,2025-05-22T02:00:00.000,"DJ EFE, Franeva",Zu Mir Oder Zu Dir,/events/2174519,1
Strange Songs for Spring,2025-05-21T00:00:00.000,2025-05-21T21:00:00.000,2025-05-22T04:00:00.000,MissVergnügen,Eschschloraque,/events/2164572,1
SUB_BAR: Beyond listening: the revolution is touch,2025-05-21T00:00:00.000,2025-05-21T15:00:00.000,2025-05-21T20:00:00.000,,Illuseum,/events/2166841,0
SUB_BAR LIVE: Alejandro Mosso presents Georhythm LIVE at Illuseum Berlin - ILLULAB ,2025-05-21T00:00:00.000,2025-05-21T19:00:00.000,2025-05-21T20:00:00.000,Alejandro Mosso,Illuseum,/events/2169926,1
[CANCELLED] Pitch Your Friend: Queer Edition,2025-05-21T00:00:00.000,2025-05-21T19:30:00.000,2025-05-21T22:00:00.000,,Urbayn Berlin,/events/2157014,6
OBXENE ,2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T09:00:00.000,"OCD, ANDHRAY, Axciid, KLEA, DE.fine, GLASSBASS, Lady Goccia",ÆDEN,/events/2073530,263
Analogue Foundation presents David August with MFO,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-22T23:30:00.000,"David August, Enyang Ha",ZENNER,/events/2027039,162
UNITY AT KITKAT CLUB,2025-05-22T00:00:00.000,2025-05-22T22:00:00.000,2025-05-23T08:00:00.000,"Julliana Kiddo, LAURIX (DE), Joe Shmoo, Limoncello",KitKatClub,/events/2071156,165
AperiGiri x NO GHETTO,2025-05-22T00:00:00.000,2025-05-22T18:00:00.000,2025-05-22T23:00:00.000,"Vanta V Black, Helina",Giri,/events/2156382,151
In Balance After Work (Open Air & Indoor),2025-05-22T00:00:00.000,2025-05-22T18:00:00.000,2025-05-22T23:59:00.000,"Idu Berg, Ponygirl, Schicktanz, Vysion",OXI,/events/2135658,107
VūMantra Records,2025-05-22T00:00:00.000,2025-05-22T22:00:00.000,2025-05-23T06:00:00.000,"Bconscious, CTSD, Zona Interdunar, jo:af, Erosive, Skrei, Vū",OHM,/events/2114191,79
Dazed State x Glue Crew,2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T06:00:00.000,"Tommahawk, Leon Licht, Memo., ADAMN, K.EULE, Oscar Wandel, Moto Moto, Susi & Proll",Renate,/events/2113912,59
upsammy pres. Strange Meridians + Andriy K,2025-05-22T00:00:00.000,2025-05-22T20:00:00.000,2025-05-22T22:00:00.000,"upsammy, Andriy K.",Silent Green,/events/2140569,45
RSO.CONCERTS: ZAHN & EARTH TONGUE,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-23T00:00:00.000,,RSO.BERLIN,/events/2156838,43
Magic Power,2025-05-22T00:00:00.000,2025-05-22T22:00:00.000,2025-05-23T06:00:00.000,"O-Wells, 41ISSA, Adlas, Coco Cobra, Tils",Berghain | Panorama Bar | Säule,/events/2133614,40
Atmosphères Vol.9,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-22T23:59:00.000,"Emme Moises, Gwenan, NEVERSLEEP, Patamamba",Kater,/events/2161355,27
"Must Be On Wax: Frau Braun, Juan Hurlé, Berobreo",2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T04:00:00.000,"Frau Braun, Juan Hurlé, Berobreo",Bulbul Berlin,/events/2149619,25
"Houseum Party: Balthazar Martinez, Holo, DJ Houseum",2025-05-22T00:00:00.000,2025-05-22T20:00:00.000,2025-05-23T02:00:00.000,"Balthazar Martinez, Holo (2), DJ Houseum",Klunkerkranich,/events/2152922,23
THE UNKNOWN (FREE ENTRY),2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-23T02:30:00.000,Shabi,Zu Mir Oder Zu Dir,/events/2153745,17
Pulse something,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-23T01:00:00.000,"BUTTCHIN, dOctOr doms, G-Theory, Luminick, Arthus-music",Lauschangriff,/events/2167791,18
Straff / thursday techno / 5€ until 1:00 AM,2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T08:00:00.000,"maniaclina, Henriko S. Sagert",Der Weiße Hase,/events/2151151,14
"morrow on Tour 2025 w./ morrow (live), Carlo Karacho (live), Lina12345",2025-05-22T00:00:00.000,2025-05-22T19:30:00.000,2025-05-22T23:59:00.000,Carlo Karacho,Monarch,/events/2150580,12
We R The Aliens at CDV,2025-05-22T00:00:00.000,2025-05-22T15:00:00.000,2025-05-23T10:00:00.000,"Snad, HEAR, Marc Schneider, D Jaguar, Memek, Neil-E (1), MELINA (3), Jakob Seidensticker, Wareika",Club der Visionaere,/events/2169007,13
://sektgarten x laut gegen antisemitismus,2025-05-22T00:00:00.000,2025-05-22T16:00:00.000,2025-05-22T23:59:00.000,,://about blank,/events/2157994,10
Savory - Techno Every Thursday,2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T06:00:00.000,"Fischmonger, Mareike Bautz, Macon, WAN.1",OST,/events/2146544,11
DSS! Takeover,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-22T22:00:00.000,"LM, Brieela, Josépha",HÖR Berlin,/events/2122737,7
Mara Vilu invites:,2025-05-22T00:00:00.000,2025-05-22T21:00:00.000,2025-05-23T05:00:00.000,"DJ IL, Mara Vilu, Marina Semren",Crack Bellmer,/events/2166894,12
KARA DELIK - Record Release Show *live,2025-05-22T00:00:00.000,2025-05-22T19:30:00.000,2025-05-22T23:00:00.000,,Gretchen,/events/2078682,6
loone Livestream with OYE Records,2025-05-22T00:00:00.000,2025-05-22T18:00:00.000,2025-05-22T21:00:00.000,"Bloody Mary, Sabine Hoffmann, Shaleen",It's a Bar,/events/2170884,8
Chantals House of Shame,2025-05-22T00:00:00.000,2025-05-22T23:00:00.000,2025-05-23T06:00:00.000,,Lokschuppen Berlin,/events/2158946,5
electronic.thursday mit Pablo Cornejo (Chile),2025-05-22T00:00:00.000,2025-05-22T18:00:00.000,2025-05-23T05:00:00.000,Pablo Cornejo,Minimal Bar,/events/2128725,3
❖ Cosmic Thursdays meets diladï ❖,2025-05-22T00:00:00.000,2025-05-22T22:00:00.000,2025-05-23T06:00:00.000,"diladï, Neobeo, Sascha Flux",Süss War Gestern,/events/2174933,3
